"Week_floor","Gesamtverbrauch"
2020-01-05,1199679.919604
2020-01-12,1224077.575143
2020-01-19,1288439.306911
2020-01-26,1217269.920762
2020-02-02,1211823.863786
2020-02-09,1189401.304572
2020-02-16,1170106.382797
2020-02-23,1166297.684546
2020-03-01,1194129.260987
2020-03-08,1154372.718536
2020-03-15,1031686.053668
2020-03-22,1069198.739593
2020-03-29,1037703.84149
2020-04-05,899667.907183
2020-04-12,881033.768326
2020-04-19,902907.082039
